6 5 2 1 -0.04336183
6 2 5 1 -0.00579596
6 1 5 2 -0.00307505
6 6 6 6 0.77460594
6 6 6 1 0.02668272
6 6 1 1 0.32949583
6 1 6 1 0.00396933
6 1 1 1 0.07122500
1 1 1 1 1.68039515
6 6 6 5 -0.32246485
6 5 6 1 -0.01455123
6 5 1 1 -0.18186230
6 6 5 1 -0.01523633
6 1 5 1 -0.00159087
6 6 6 2 0.22204516
6 2 6 1 0.01140705
6 2 1 1 0.15064110
6 6 2 1 0.07909178
6 1 2 1 0.01346742
2 1 1 1 0.26542026
6 6 5 5 0.32930544
6 1 5 5 0.02608366
5 5 1 1 0.39663958
6 6 4 4 0.25660708
6 1 4 4 0.02517245
4 4 1 1 0.39663958
6 6 3 3 0.25660708
6 1 3 3 0.02517245
3 3 1 1 0.39663958
6 6 5 2 -0.10571463
6 6 2 2 0.28097177
6 1 2 2 0.02547225
2 2 1 1 0.39772678
6 5 6 5 0.14606036
6 5 5 1 0.00902086
5 1 5 1 0.00898132
6 4 6 4 0.00561053
6 4 4 1 0.00301146
4 1 4 1 0.00898132
6 3 6 3 0.00561053
6 3 3 1 0.00301146
3 1 3 1 0.00898132
6 5 6 2 -0.10297822
6 2 6 2 0.07380555
6 2 2 1 0.03551198
2 1 2 1 0.04994142
6 5 5 5 -0.16596648
6 5 4 4 -0.13675951
6 5 3 3 -0.13675951
6 5 5 2 0.05149517
5 2 5 1 0.01378826
6 5 2 2 -0.14655525
6 4 5 4 -0.00533024
6 4 4 2 0.01356879
4 2 4 1 0.01378826
6 3 5 3 -0.00533024
6 3 3 2 0.01356879
3 2 3 1 0.01378826
6 2 5 5 0.12683825
5 5 2 1 0.09288035
6 2 4 4 0.10977945
4 4 2 1 0.09288035
6 2 3 3 0.10977945
3 3 2 1 0.09288035
6 2 5 2 -0.03366173
6 2 2 2 0.11550630
2 2 2 1 0.09286010
5 5 5 5 0.31294545
5 4 5 4 0.01686914
5 5 4 4 0.27920718
4 4 4 4 0.31294545
5 3 5 3 0.01686914
4 3 4 3 0.01686914
5 5 3 3 0.27920718
4 4 3 3 0.27920718
3 3 3 3 0.31294545
5 2 5 2 0.06418432
4 2 4 2 0.06418432
3 2 3 2 0.06418432
5 5 2 2 0.29049692
4 4 2 2 0.29049692
3 3 2 2 0.29049692
2 2 2 2 0.29056224
